Text,Priority
"""I have a high fever.""",High
"""I need water.""",Low
"""Urgent help needed for chest pain.""",High
"""Can you bring me a glass of water?""",Low
"""Severe headache and dizziness.""",High
"""Where is my medication?""",Medium
"""I have trouble breathing.""",High
"""What time is it?""",Low
"""I feel nauseous.""",Medium
"""Call the nurse immediately!""",High
"""I need assistance walking.""",Medium
"""I lost my keys.""",Low
"""My chest feels tight, I need help!""",High
"""I need to use the restroom.""",Low
"""My back hurts, I need pain relief.""",Medium
"""Can you bring me a blanket?""",Low
"""I'm having a heart attack!""",High
"""Can you get me some medicine?""",Low
"""I need help with my IV drip.""",High
"""I'm feeling weak and dizzy.""",High
"""My stomach is upset, please help.""",Medium
"""How long until my surgery?""",Low
"""I need my insulin shot now.""",High
"""I think I broke my arm!""",High
"""Can someone check my blood pressure?""",Medium
"""I need something to eat.""",Low
"""I need help with my wheelchair.""",Medium
"""I can't breathe properly.""",High
"""How do I turn on the TV?""",Low
"""Please get me a doctor, quickly!""",High
"""My head hurts, but it's not that bad.""",Medium
"""I need a warm blanket.""",Low
"""I’m feeling faint and weak.""",High
"""Please help me to the bathroom.""",Medium
"""I need painkillers for my headache.""",High
"""How do I log into my account?""",Low
"""My leg is swollen and I need assistance.""",High
"""Can you bring me my phone charger?""",Low
"""I need help finding my glasses.""",Low
"""My arm feels numb, I need help!""",High
"""Please get me a glass of juice.""",Low
"""I need a nurse for my wound dressing.""",High
"""I have a cold and need tissues.""",Medium
"""Please check my temperature.""",High
"""Can someone bring me a magazine?""",Low
"""I need to use the restroom urgently!""",High
"""Can you help me with my bandages?""",Medium
"""I feel dizzy when I stand up.""",Medium
"""I need a new pillow for my bed.""",Low
"""I feel like I’m going to faint.""",High
"""I need help with my medications.""",High
"""I'm having trouble breathing.""",High
"""Can someone get me a glass of water?""",Low
"""My head is pounding, I need something for pain.""",High
"""I feel nauseous, can I get some water?""",Medium
"""My chest feels tight.""",High
"""I’m cold, please bring me a blanket.""",Low
"""I need assistance to stand up.""",Medium
"""I feel dizzy when I stand up.""",Medium
"""I think I have a fever.""",High
"""I need help moving to a different bed.""",Medium
"""Can someone help me to the restroom?""",High
"""Please get me my painkiller.""",High
"""Can someone check my oxygen levels?""",High
"""I feel weak and need help walking.""",Medium
"""Can you bring me some ice cream?""",Low
"""Please bring me my phone.""",Low
"""I need a doctor right now!""",High
"""My throat is sore, I need something for it.""",Medium
"""I feel faint, I need help.""",High
"""My wound is bleeding, please help!""",High
"""I need help adjusting my IV.""",High
"""Please get me some warm tea.""",Low
"""I need to lie down, I feel dizzy.""",High
"""Can I have a pillow under my head?""",Low
"""I think I sprained my ankle.""",High
"""I need some juice, I’m feeling weak.""",Medium
"""Please get me a nurse, I’m feeling unwell.""",High
"""Can you please get me my book?""",Low
"""I’m feeling nauseous and need some medicine.""",High
"""My arm is swollen, please help!""",High
"""I feel very weak, I need to lie down.""",High
"""Can you help me with my wheelchair?""",Medium
"""I need a new bandage for my wound.""",High
"""I’m feeling lightheaded, I need assistance.""",High
"""Can someone get me a cold compress?""",Low
"""I need some water, I feel dehydrated.""",Medium
"""My heart rate is too fast, I need help.""",High
"""Please check my blood pressure.""",Medium
"""Can I get some more blankets, I’m cold?""",Low
"""I need pain relief, my back hurts.""",Medium
"""Please help me with my medication schedule.""",Medium
"""I need help using the restroom.""",High
"""Can you get me some tissues, I’m sneezing a lot.""",Low
"""I’m feeling very hot, please get me some cold water.""",High
"""I need my prescription filled.""",Medium
"""I’m feeling really weak and need to rest.""",High
"""I need help with my gown.""",Low
"""My heart is racing, I need help!""",High
"""Can I get some tea for my sore throat?""",Low
"""I need a nurse to check my vitals.""",High
"""Please help me with my IV drip.""",High
"""I’m having stomach cramps, can you help?""",Medium
"""I need a wheelchair to move around.""",Medium
"""Please get me some aspirin.""",High
"""I have severe headache, please help!""",High
